,missing,missing_percentage
name,0,0.0
year,43,0.9907834101382488
selling_price,0,0.0
km_driven,173,3.9861751152073728
fuel,86,1.9815668202764976
seller_type,65,1.497695852534562
transmission,0,0.0
owner,86,1.9815668202764976
